"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jul 18 20:46:09 UTC 2025","Fri Jul 18 20:46:09 UTC 2025","2","Cadastro de Usuário","Cadastro de Usuário - Campos Obrigatórios","","","","deve retornar 400 se o campo 'state' estiver faltando",""
"passed","Fri Jul 18 20:46:09 UTC 2025","Fri Jul 18 20:46:09 UTC 2025","1","Cadastro de Usuário","","","","","deve impedir o registro com uma senha fraca",""
"passed","Fri Jul 18 20:46:09 UTC 2025","Fri Jul 18 20:46:09 UTC 2025","2","Autenticação","Password Recovery","","","","deve rejeitar redefinição de senha com token inválido","Este teste verifica se um usuário é impedido de redefinir a senha com um token de recuperação de senha inválido."
"passed","Fri Jul 18 20:46:09 UTC 2025","Fri Jul 18 20:46:09 UTC 2025","282","Autenticação","User Login - Bloqueio de Conta","","","","deve bloquear a conta após 3 tentativas de login falhas","Este teste verifica se um usuário é bloqueado ao falhar 3 vezes a tentativa de login."
"passed","Fri Jul 18 20:46:09 UTC 2025","Fri Jul 18 20:46:09 UTC 2025","1","Cadastro de Usuário","Cadastro de Usuário - Campos Obrigatórios","","","","deve retornar 400 se o campo 'age' estiver faltando",""
"passed","Fri Jul 18 20:46:09 UTC 2025","Fri Jul 18 20:46:09 UTC 2025","2","API Routes - Method Not Allowed","","","","","deve retornar 405 para PUT em /api/orders",""
"passed","Fri Jul 18 20:46:09 UTC 2025","Fri Jul 18 20:46:09 UTC 2025","1","API Routes - Method Not Allowed","","","","","deve retornar 405 para GET em /api/users/login",""
"passed","Fri Jul 18 20:46:09 UTC 2025","Fri Jul 18 20:46:09 UTC 2025","3","API Routes - Method Not Allowed","","","","","deve retornar 405 para PUT em /api/users/register",""
"passed","Fri Jul 18 20:46:09 UTC 2025","Fri Jul 18 20:46:09 UTC 2025","62","Cadastro de Usuário","","","","","deve impedir o registro com um username já existente",""
"passed","Fri Jul 18 20:46:09 UTC 2025","Fri Jul 18 20:46:09 UTC 2025","2","API Routes - Method Not Allowed","","","","","deve retornar 405 para PUT em /api/favorites/1",""
"passed","Fri Jul 18 20:46:09 UTC 2025","Fri Jul 18 20:46:09 UTC 2025","4","Autenticação","User Login - Dados inválidos","","","","deve retornar erro quando o usuário não existe","Este teste verifica se um usuário inexistente consegue se autenticar e receber um token JWT."
"passed","Fri Jul 18 20:46:09 UTC 2025","Fri Jul 18 20:46:09 UTC 2025","2","API Routes - Method Not Allowed","","","","","deve retornar 405 para DELETE em /api/favorites/1",""
"passed","Fri Jul 18 20:46:09 UTC 2025","Fri Jul 18 20:46:09 UTC 2025","64","Autenticação","User Login - Dados válidos","","","","deve autenticar com sucesso com credenciais válidas","Este teste verifica se um usuário com credenciais corretas consegue se autenticar e receber um token JWT."
"passed","Fri Jul 18 20:46:09 UTC 2025","Fri Jul 18 20:46:09 UTC 2025","2","API Routes - Method Not Allowed","","","","","deve retornar 405 para GET em /api/users/register",""
"passed","Fri Jul 18 20:46:09 UTC 2025","Fri Jul 18 20:46:09 UTC 2025","59","Cadastro de Usuário","","","","","deve registrar um usuário com dados válidos",""
"passed","Fri Jul 18 20:46:09 UTC 2025","Fri Jul 18 20:46:09 UTC 2025","2","Autenticação","User Login - Dados inválidos","","","","deve retornar 400 quando 'username' não for enviado","Este teste verifica a obrigatoriedade do campo username quando submetido ao login."
